master_protein	step	RBP_glyco	NC	CL	CL_NC_Ratio
O60841	2	"GO:RBP, Non-Glycoprotein"	25.36301027	25.43766992	-0.011728399
O60841	3	"GO:RBP, Non-Glycoprotein"	25.37200426	25.29521866	-0.11919454
O60841	4	"GO:RBP, Non-Glycoprotein"	23.68941412	23.89409064	0.18484738
O60869	1	"GO:RBP, Non-Glycoprotein"	25.69157215	26.17231167	0.480739527
O75083	1	"Novel RBP, Non-Glycoprotein"	24.3555613	25.1284162	0.466059692
O75116	1	"GO:RBP, Non-Glycoprotein"	23.39845626	22.87687782	0.033720575
O75152	1	"GO:RBP, Non-Glycoprotein"	23.1810267	23.78849994	1.152368415
O75152	2	"GO:RBP, Non-Glycoprotein"	NA	21.65514335	NA
O75152	3	"GO:RBP, Non-Glycoprotein"	18.4963857	21.92598912	3.875603591
O75152	4	"GO:RBP, Non-Glycoprotein"	NA	19.93614971	NA
O75153	1	"GO:RBP, Non-Glycoprotein"	23.04355267	24.06959748	0.995823945
O75153	2	"GO:RBP, Non-Glycoprotein"	19.88969484	20.93389781	2.726472299
O75153	4	"GO:RBP, Non-Glycoprotein"	16.7497647	19.59463284	2.659170351
O75179	3	"GO:RBP, Non-Glycoprotein"	19.7944648	23.15391013	3.630805595
O75347	1	"GO:RBP, Non-Glycoprotein"	23.42179915	23.63625902	0.161605087
O75348	1	"Novel RBP, Non-Glycoprotein"	21.54845892	22.40999551	0.494510741
O75367	1	"Novel RBP, Non-Glycoprotein"	21.92403412	22.16744199	0.243407872
O75369	1	"GO:RBP, Non-Glycoprotein"	23.99780273	24.27489353	0.082573987
O75369	2	"GO:RBP, Non-Glycoprotein"	21.79348781	22.85778835	0.999404912
O75369	3	"GO:RBP, Non-Glycoprotein"	22.50072833	23.47038287	1.217077052
O75369	4	"GO:RBP, Non-Glycoprotein"	20.31444586	22.26505554	2.168479895
O75390	1	"GO:RBP, Non-Glycoprotein"	25.60124287	27.29253618	0.084611048
O75396	1	"Novel RBP, Non-Glycoprotein"	22.92464104	22.82125632	-0.33635733
O75400	1	"GO:RBP, Non-Glycoprotein"	25.05285613	24.88209859	0.028182295
O75400	2	"GO:RBP, Non-Glycoprotein"	24.45810109	24.39917412	-0.049691891
